fip_code, county_name, state
09001, "Fairfield", CT
09007, "Middlesex", CT
09009, "New Haven", CT
09011, "New London", CT
24039, "Somerset", MD
34001, "Atlantic", NJ
34003, "Bergen", NJ
34005, "Burlington", NJ
34007, "Camden", NJ
34009, "Cape May", NJ
34011, "Cumberland", NJ
34013, "Essex", NJ
34015, "Gloucester", NJ
34017, "Hudson", NJ
34019, "Hunterdon", NJ
34021, "Mercer", NJ
34023, "Middlesex", NJ
34025, "Monmouth", NJ
34027, "Morris", NJ
34029, "Ocean", NJ
34031, "Passaic", NJ
34033, "Salem", NJ
34035, "Somerset", NJ
34037, "Sussex", NJ
34039, "Union", NJ
34041, "Warren", NJ
36005, "Bronx", NY
36047, "Kings",	NY
36059, "Nassau", NY
36061, "New York", NY
36071, "Orange", NY
36079, "Putnam", NY
36081, "Queens", NY
36085, "Richmond", NY
36087, "Rockland", NY
36103, "Suffolk", NY
36105, "Sullivan", NY
36111, "Ulster", NY
36119, "Westchester", NY
44005, "Newport", RI
44009, "Washington", RI